sample_id	tissue
GTEX-111FC-2026-SM-5GZYO	Prostate
GTEX-111FC-2526-SM-5GZXU	Skin - Not Sun Exposed (Suprapubic)
GTEX-111FC-2926-SM-5GZY7	Minor Salivary Gland
GTEX-111FC-3126-SM-5GZZ2	Brain - Cortex
GTEX-111FC-3326-SM-5GZYV	Brain - Cerebellum
GTEX-111VG-0008-SM-5Q5BG	Cells - Cultured fibroblasts
GTEX-111VG-0326-SM-5GZX7	Heart - Atrial Appendage
GTEX-111VG-0526-SM-5N9BW	Thyroid
GTEX-111VG-0726-SM-5GIDC	Lung
GTEX-111VG-1626-SM-5EGIO	Skin - Not Sun Exposed (Suprapubic)
GTEX-111VG-1926-SM-5GIDO	Testis
GTEX-111VG-2226-SM-5N9DU	Colon - Transverse
GTEX-111VG-2326-SM-5N9BK	Adipose - Subcutaneous
GTEX-111VG-2426-SM-5GZXD	Skin - Sun Exposed (Lower leg)
GTEX-111VG-2526-SM-5GZXP	Nerve - Tibial
GTEX-111VG-2626-SM-5GZY2	Muscle - Skeletal
GTEX-111YS-0006-SM-5NQBE	Whole Blood
GTEX-111YS-0008-SM-5Q5BH	Cells - Cultured fibroblasts
GTEX-111YS-0126-SM-5987T	Adrenal Gland
GTEX-111YS-0326-SM-5GZZ3	Heart - Atrial Appendage
GTEX-111YS-0426-SM-5987O	Heart - Left Ventricle
GTEX-111YS-0526-SM-5GZXJ	Artery - Aorta
GTEX-111YS-0626-SM-5GZXV	Lung
GTEX-111YS-0726-SM-5GZY8	Thyroid
GTEX-111YS-0826-SM-5GZYK	Esophagus - Gastroesophageal Junction
GTEX-111YS-0926-SM-5EGGI	Esophagus - Mucosa
GTEX-111YS-1026-SM-5GZYE	Esophagus - Muscularis
GTEX-111YS-1126-SM-5GZYQ	Stomach
GTEX-111YS-1226-SM-5EGGJ	Pancreas
GTEX-111YS-1326-SM-5EGGK	Adipose - Visceral (Omentum)
GTEX-111YS-1426-SM-5GID8	Small Intestine - Terminal Ileum
GTEX-111YS-1526-SM-5GZYW	Skin - Not Sun Exposed (Suprapubic)
GTEX-111YS-1626-SM-5GZZ9	Colon - Transverse
GTEX-111YS-1726-SM-5GIED	Prostate
GTEX-111YS-1826-SM-5GIEP	Colon - Sigmoid
GTEX-111YS-1926-SM-5GICC	Breast - Mammary Tissue
GTEX-111YS-2026-SM-5EGGL	Testis
GTEX-111YS-2126-SM-5EGGM	Nerve - Tibial
GTEX-111YS-2226-SM-5987P	Artery - Tibial
GTEX-111YS-2326-SM-5987L	Muscle - Skeletal
GTEX-111YS-2426-SM-5GZZQ	Adipose - Subcutaneous
GTEX-1122O-0003-SM-5Q5DL	Cells - EBV-transformed lymphocytes
GTEX-1122O-0005-SM-5O99J	Whole Blood
GTEX-1122O-0008-SM-5QGR2	Cells - Cultured fibroblasts
GTEX-1122O-0126-SM-5GICA	Lung
GTEX-1122O-0226-SM-5N9DA	Thyroid
GTEX-1122O-0326-SM-5H124	Adrenal Gland
GTEX-1122O-0426-SM-5H12G	Artery - Coronary
GTEX-1122O-0526-SM-5N9DM	Spleen
GTEX-1122O-0626-SM-5N9B9	Heart - Atrial Appendage
GTEX-1122O-0726-SM-5GIEV	Pancreas
GTEX-1122O-0826-SM-5GICV	Heart - Left Ventricle
GTEX-1122O-0926-SM-9YFLC	Adipose - Visceral (Omentum)
GTEX-1122O-1026-SM-9WYSF	Skin - Not Sun Exposed (Suprapubic)
GTEX-1122O-1126-SM-5NQ8X	Artery - Aorta
GTEX-1122O-1226-SM-5H113	Breast - Mammary Tissue
GTEX-1122O-1326-SM-5H11F	Small Intestine - Terminal Ileum
GTEX-1122O-1426-SM-5H11R	Colon - Sigmoid
GTEX-1122O-1526-SM-5N9CL	Colon - Transverse
GTEX-1122O-1626-SM-5N9CX	Esophagus - Muscularis
GTEX-1122O-1726-SM-5GICM	Esophagus - Mucosa
GTEX-1122O-1826-SM-5EGIP	Esophagus - Gastroesophageal Junction
GTEX-1122O-1926-SM-5EGIQ	Stomach
GTEX-1122O-2026-SM-9YFMG	Adipose - Subcutaneous
GTEX-1122O-2126-SM-5EGIR	Skin - Sun Exposed (Lower leg)
GTEX-1122O-2326-SM-9YFL9	Artery - Tibial
GTEX-1122O-2426-SM-5GIDN	Muscle - Skeletal
GTEX-1128S-0005-SM-5P9HI	Whole Blood
GTEX-1128S-0008-SM-5Q5DP	Cells - Cultured fibroblasts
GTEX-1128S-0126-SM-5H12S	Thyroid
GTEX-1128S-0326-SM-5GZZF	Artery - Aorta
GTEX-1128S-0726-SM-5N9D6	Lung
GTEX-1128S-0826-SM-5GZZI	Pancreas
GTEX-1128S-0926-SM-5GZZU	Adipose - Visceral (Omentum)
GTEX-1128S-1626-SM-5H12O	Colon - Transverse
GTEX-1128S-2126-SM-5H12U	Adipose - Subcutaneous
GTEX-1128S-2326-SM-5GZZY	Skin - Sun Exposed (Lower leg)
GTEX-1128S-2426-SM-5H11B	Muscle - Skeletal
GTEX-1128S-2526-SM-5H11N	Artery - Tibial
GTEX-1128S-2626-SM-5H11Z	Pituitary
GTEX-1128S-2726-SM-5H12C	Brain - Cortex
GTEX-1128S-2826-SM-5N9DI	Brain - Cerebellum
GTEX-113IC-0006-SM-5NQ9C	Whole Blood
GTEX-113IC-0008-SM-5QGRF	Cells - Cultured fibroblasts
GTEX-113IC-0126-SM-5HL6T	Skin - Sun Exposed (Lower leg)
GTEX-113IC-0226-SM-5HL5C	Adipose - Subcutaneous
GTEX-113IC-0426-SM-5HL5O	Artery - Tibial
GTEX-113IC-0526-SM-5HL76	Nerve - Tibial
GTEX-113JC-0006-SM-5O997	Whole Blood
GTEX-113JC-0008-SM-5QGR6	Cells - Cultured fibroblasts
GTEX-113JC-0126-SM-5EGJW	Thyroid
GTEX-113JC-0726-SM-5GZZR	Adipose - Visceral (Omentum)
GTEX-113JC-0926-SM-5H114	Esophagus - Muscularis
GTEX-113JC-1026-SM-5H117	Esophagus - Gastroesophageal Junction
GTEX-113JC-1926-SM-5N9GE	Vagina
GTEX-113JC-2226-SM-5EGJG	Uterus
GTEX-113JC-2326-SM-5EQ4E	Skin - Sun Exposed (Lower leg)
GTEX-113JC-2726-SM-5EGIS	Muscle - Skeletal
GTEX-113JC-2826-SM-5EGIT	Pituitary
GTEX-117XS-0005-SM-5PNU6	Whole Blood
GTEX-117XS-0008-SM-5Q5DQ	Cells - Cultured fibroblasts
GTEX-117XS-0426-SM-5GZZN	Artery - Aorta
GTEX-117XS-0526-SM-5987Q	Thyroid
GTEX-117XS-0726-SM-5H131	Heart - Atrial Appendage
GTEX-117XS-1926-SM-5GICO	Breast - Mammary Tissue
GTEX-117XS-2026-SM-5GID1	Testis
GTEX-117XS-2226-SM-5GIE1	Colon - Sigmoid
GTEX-117XS-2526-SM-5H11G	Muscle - Skeletal
GTEX-117XS-2726-SM-5N9BL	Skin - Sun Exposed (Lower leg)
GTEX-117XS-2926-SM-5N9BX	Pituitary
GTEX-117XS-3026-SM-5N9CA	Brain - Cortex
GTEX-117XS-3126-SM-5GIDP	Brain - Cerebellum
GTEX-117YW-0005-SM-5NQ8Z	Whole Blood
GTEX-117YW-0008-SM-5QGRD	Cells - Cultured fibroblasts
GTEX-117YW-0126-SM-5EGGN	Thyroid
GTEX-117YW-0226-SM-5N9CM	Artery - Aorta
GTEX-117YW-0326-SM-5N9CY	Heart - Left Ventricle
GTEX-117YW-0426-SM-5GZZZ	Heart - Atrial Appendage
GTEX-117YW-0526-SM-5H11C	Lung
GTEX-117YW-0826-SM-5H11O	Adipose - Visceral (Omentum)
GTEX-117YW-1426-SM-5EGGO	Prostate
GTEX-117YW-1526-SM-5EGGP	Testis
GTEX-117YW-1826-SM-5PNY5	Colon - Transverse
GTEX-117YW-1926-SM-5H121	Esophagus - Mucosa
GTEX-117YW-2026-SM-5N9BH	Esophagus - Muscularis
GTEX-117YW-2226-SM-5N9DB	Stomach
GTEX-117YW-2426-SM-5Q5AE	Muscle - Skeletal
GTEX-117YW-2626-SM-5GZZH	Skin - Sun Exposed (Lower leg)
GTEX-117YW-2726-SM-5GZZT	Artery - Tibial
GTEX-117YW-2826-SM-5H116	Pituitary
GTEX-117YX-0126-SM-5EGH5	Adrenal Gland
GTEX-117YX-0226-SM-5EGH6	Pancreas
GTEX-117YX-0326-SM-5GICL	Small Intestine - Terminal Ileum
GTEX-117YX-0526-SM-5EGJH	Colon - Sigmoid
GTEX-117YX-0626-SM-5EGJI	Heart - Atrial Appendage
GTEX-117YX-0726-SM-5GIET	Adipose - Visceral (Omentum)
GTEX-117YX-0826-SM-5H11J	Colon - Transverse
GTEX-117YX-1026-SM-5H11V	Stomach
GTEX-117YX-1126-SM-5H128	Heart - Left Ventricle
GTEX-117YX-1226-SM-5H11S	Thyroid
GTEX-117YX-1326-SM-5H125	Lung
GTEX-117YX-1426-SM-5H12H	Breast - Mammary Tissue
GTEX-117YX-1526-SM-5H12T	Prostate
GTEX-117YX-1726-SM-5GZZS	Artery - Coronary
GTEX-117YX-1826-SM-5H12K	Esophagus - Muscularis
GTEX-117YX-1926-SM-5GIEC	Skin - Not Sun Exposed (Suprapubic)
GTEX-117YX-2026-SM-5GIEF	Testis
GTEX-117YX-2126-SM-5GIEL	Spleen
GTEX-117YX-2226-SM-5EGJJ	Adipose - Subcutaneous
GTEX-117YX-2326-SM-5H12W	Skin - Sun Exposed (Lower leg)
GTEX-117YX-2426-SM-5GZZJ	Nerve - Tibial
GTEX-117YX-2526-SM-5EQ4Q	Muscle - Skeletal
GTEX-117YX-2626-SM-5EQ53	Artery - Tibial
GTEX-1192W-0005-SM-5NQBQ	Whole Blood
GTEX-1192W-0008-SM-5QGRE	Cells - Cultured fibroblasts
GTEX-1192W-0126-SM-5EGGS	Thyroid
GTEX-1192W-0226-SM-5EGGT	Heart - Atrial Appendage
GTEX-1192W-2626-SM-5Q5AF	Skin - Sun Exposed (Lower leg)
GTEX-1192W-3026-SM-5GZZV	Pituitary
GTEX-1192X-0005-SM-5NQC3	Whole Blood
GTEX-1192X-0008-SM-5Q5B7	Cells - Cultured fibroblasts
GTEX-1192X-0011-R10a-SM-DO941	Brain - Frontal Cortex (BA9)
GTEX-1192X-0011-R5a-SM-DNZZA	Brain - Caudate (basal ganglia)
GTEX-1192X-0011-R6a-SM-DNZZB	Brain - Nucleus accumbens (basal ganglia)
GTEX-1192X-0011-R7b-SM-DNZZC	Brain - Putamen (basal ganglia)
GTEX-1192X-0011-R8b-SM-DO11U	Brain - Hypothalamus
GTEX-1192X-0011-R9b-SM-DO934	Brain - Spinal cord (cervical c-1)
GTEX-1192X-0226-SM-5H12D	Skin - Sun Exposed (Lower leg)
GTEX-1192X-0326-SM-5H11U	Nerve - Tibial
GTEX-1192X-0426-SM-5GIEE	Muscle - Skeletal
GTEX-1192X-0726-SM-5987R	Heart - Atrial Appendage
GTEX-1192X-1126-SM-5EGGU	Thyroid
GTEX-1192X-1526-SM-5H11I	Adipose - Visceral (Omentum)
GTEX-1192X-1826-SM-5GIE2	Esophagus - Gastroesophageal Junction
GTEX-1192X-2326-SM-5987X	Breast - Mammary Tissue
GTEX-1192X-2526-SM-59868	Small Intestine - Terminal Ileum
GTEX-1192X-2726-SM-5N9DN	Skin - Not Sun Exposed (Suprapubic)
GTEX-1192X-2926-SM-5N9BA	Minor Salivary Gland
GTEX-1192X-3026-SM-5N9BM	Pituitary
GTEX-1192X-3126-SM-5N9BY	Brain - Cortex
GTEX-1192X-3226-SM-5987D	Brain - Cerebellum
GTEX-11DXW-0006-SM-5NQ7Y	Whole Blood
GTEX-11DXW-0008-SM-5Q59V	Cells - Cultured fibroblasts
GTEX-11DXW-0011-R1a-SM-DNZZD	Brain - Hippocampus
GTEX-11DXW-0011-R3b-SM-DNZZE	Brain - Anterior cingulate cortex (BA24)
GTEX-11DXW-0011-R5b-SM-DO11D	Brain - Caudate (basal ganglia)
GTEX-11DXW-0011-R6a-SM-DO11N	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DXW-0011-R7b-SM-DO119	Brain - Putamen (basal ganglia)
GTEX-11DXW-0226-SM-5H122	Skin - Sun Exposed (Lower leg)
GTEX-11DXW-0326-SM-5H11W	Adipose - Subcutaneous
GTEX-11DXW-0426-SM-5H12E	Nerve - Tibial
GTEX-11DXW-0526-SM-5H127	Artery - Tibial
GTEX-11DXW-0626-SM-5N9ER	Breast - Mammary Tissue
GTEX-11DXW-0726-SM-5H12J	Muscle - Skeletal
GTEX-11DXW-0826-SM-5H118	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXW-1026-SM-5H11K	Brain - Cerebellum
GTEX-11DXW-1126-SM-5H12Q	Brain - Cortex
GTEX-11DXW-1226-SM-5H133	Pituitary
GTEX-11DXX-0005-SM-5NQ8B	Whole Blood
GTEX-11DXX-0008-SM-5Q5B8	Cells - Cultured fibroblasts
GTEX-11DXX-0126-SM-5EGH7	Adrenal Gland
GTEX-11DXX-0226-SM-5P9HL	Thyroid
GTEX-11DXX-0326-SM-5PNWC	Heart - Left Ventricle
GTEX-11DXX-0426-SM-5EQ5F	Artery - Aorta
GTEX-11DXX-0526-SM-5PNVR	Heart - Atrial Appendage
GTEX-11DXX-0626-SM-5Q5AG	Lung
GTEX-11DXX-0726-SM-5H12X	Spleen
GTEX-11DXX-0826-SM-5GZZP	Artery - Coronary
GTEX-11DXX-0926-SM-5H112	Pancreas
GTEX-11DXX-1026-SM-5H11E	Esophagus - Muscularis
GTEX-11DXX-1126-SM-5GZZK	Esophagus - Mucosa
GTEX-11DXX-1226-SM-5GICD	Esophagus - Gastroesophageal Junction
GTEX-11DXX-1326-SM-5GIDZ	Stomach
GTEX-11DXX-1426-SM-5GIDU	Ovary
GTEX-11DXX-1526-SM-5H115	Uterus
GTEX-11DXX-1626-SM-5H11H	Small Intestine - Terminal Ileum
GTEX-11DXX-1726-SM-5H11T	Vagina
GTEX-11DXX-1826-SM-5H126	Colon - Transverse
GTEX-11DXX-1926-SM-5EGJK	Colon - Sigmoid
GTEX-11DXX-2026-SM-5EGJL	Adipose - Visceral (Omentum)
GTEX-11DXX-2126-SM-5PNYR	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXX-2326-SM-9YFKS	Adipose - Subcutaneous
GTEX-11DXX-2426-SM-5GZZW	Skin - Sun Exposed (Lower leg)
GTEX-11DXX-2526-SM-5H119	Nerve - Tibial
GTEX-11DXX-2626-SM-5Q5A3	Artery - Tibial
GTEX-11DXX-2726-SM-5PNXO	Muscle - Skeletal
GTEX-11DXY-0006-SM-5NQ8N	Whole Blood
GTEX-11DXY-0008-SM-5QGR4	Cells - Cultured fibroblasts
GTEX-11DXY-0011-R10b-SM-DO12C	Brain - Frontal Cortex (BA9)
GTEX-11DXY-0011-R11a-SM-DNZZN	Brain - Cerebellar Hemisphere
GTEX-11DXY-0011-R5b-SM-DNZZL	Brain - Caudate (basal ganglia)
GTEX-11DXY-0011-R6a-SM-DNZZF	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DXY-0011-R7a-SM-DO11L	Brain - Putamen (basal ganglia)
GTEX-11DXY-0011-R8a-SM-DO11M	Brain - Hypothalamus
GTEX-11DXY-0126-SM-5H11Q	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXY-0226-SM-5H123	Testis
GTEX-11DXY-0326-SM-5H12F	Adipose - Visceral (Omentum)
GTEX-11DXY-0426-SM-5H12R	Thyroid
GTEX-11DXY-0526-SM-5EGGQ	Liver
GTEX-11DXY-0826-SM-5EGGR	Heart - Left Ventricle
GTEX-11DXY-1026-SM-5987V	Heart - Atrial Appendage
GTEX-11DXY-1126-SM-5987W	Artery - Coronary
GTEX-11DXY-1326-SM-5987Z	Esophagus - Gastroesophageal Junction
GTEX-11DXY-1426-SM-5N9CN	Esophagus - Mucosa
GTEX-11DXY-1526-SM-5H129	Esophagus - Muscularis
GTEX-11DXY-1626-SM-5H12L	Adrenal Gland
GTEX-11DXY-2026-SM-5N9CZ	Colon - Sigmoid
GTEX-11DXY-2326-SM-5GICW	Breast - Mammary Tissue
GTEX-11DXY-2626-SM-5GIE7	Skin - Sun Exposed (Lower leg)
GTEX-11DXY-2726-SM-5GID2	Muscle - Skeletal
GTEX-11DXY-3026-SM-5N9CB	Pituitary
GTEX-11DXY-3126-SM-5N9BT	Brain - Cerebellum
GTEX-11DXY-3226-SM-5GIDE	Brain - Cortex
GTEX-11DXZ-0006-SM-5LZZH	Whole Blood
GTEX-11DXZ-0126-SM-5EGGY	Liver
GTEX-11DXZ-0226-SM-5EGGZ	Adrenal Gland
GTEX-11DXZ-0326-SM-5EGH1	Heart - Atrial Appendage
GTEX-11DXZ-0426-SM-5987Y	Artery - Aorta
GTEX-11DXZ-0526-SM-5GU7J	Artery - Coronary
GTEX-11DXZ-0626-SM-5GU77	Heart - Left Ventricle
GTEX-11DXZ-0726-SM-5N9C4	Lung
GTEX-11DXZ-0926-SM-5N9CG	Thyroid
GTEX-11DXZ-1026-SM-5N9D5	Esophagus - Gastroesophageal Junction
GTEX-11DXZ-1226-SM-5H11L	Esophagus - Mucosa
GTEX-11DXZ-1326-SM-5H11X	Small Intestine - Terminal Ileum
GTEX-11DXZ-1426-SM-5H12A	Adipose - Visceral (Omentum)
GTEX-11DXZ-1626-SM-5GIDI	Colon - Sigmoid
GTEX-11DXZ-1726-SM-5H12M	Colon - Transverse
GTEX-11DXZ-1826-SM-5H12Y	Prostate
GTEX-11DXZ-1926-SM-5GZZL	Breast - Mammary Tissue
GTEX-11DXZ-2026-SM-5987S	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DXZ-2126-SM-59881	Testis
GTEX-11DXZ-2326-SM-5EGGV	Skin - Sun Exposed (Lower leg)
GTEX-11DXZ-2426-SM-5N9DT	Muscle - Skeletal
GTEX-11DXZ-2526-SM-5N9BG	Nerve - Tibial
GTEX-11DXZ-2626-SM-59882	Artery - Tibial
GTEX-11DYG-0006-SM-5NQB2	Whole Blood
GTEX-11DYG-0008-SM-5QGR5	Cells - Cultured fibroblasts
GTEX-11DYG-0011-R10b-SM-DNZZO	Brain - Frontal Cortex (BA9)
GTEX-11DYG-0011-R11a-SM-DNZZP	Brain - Cerebellar Hemisphere
GTEX-11DYG-0011-R5a-SM-DO928	Brain - Caudate (basal ganglia)
GTEX-11DYG-0011-R6a-SM-DO936	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DYG-0011-R7b-SM-EXUS6	Brain - Putamen (basal ganglia)
GTEX-11DYG-0011-R8a-SM-DO93F	Brain - Hypothalamus
GTEX-11DYG-0126-SM-59883	Skin - Sun Exposed (Lower leg)
GTEX-11DYG-0426-SM-5987J	Nerve - Tibial
GTEX-11DYG-0826-SM-5N9GH	Thyroid
GTEX-11DYG-0926-SM-5EGGW	Artery - Coronary
GTEX-11DYG-1026-SM-5A5JQ	Heart - Atrial Appendage
GTEX-11DYG-1226-SM-5N9DC	Artery - Aorta
GTEX-11DYG-1326-SM-5N9DO	Esophagus - Mucosa
GTEX-11DYG-1426-SM-5A5JR	Esophagus - Muscularis
GTEX-11DYG-1526-SM-5A5JS	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DYG-1926-SM-5H12I	Esophagus - Gastroesophageal Junction
GTEX-11DYG-2026-SM-5EGGX	Adipose - Visceral (Omentum)
GTEX-11DYG-2526-SM-5N9BB	Prostate
GTEX-11DYG-2926-SM-5H132	Brain - Cerebellum
GTEX-11DYG-3126-SM-5A5L6	Pituitary
GTEX-11DZ1-0008-SM-5QGR3	Cells - Cultured fibroblasts
GTEX-11DZ1-0011-R10b-SM-DO943	Brain - Frontal Cortex (BA9)
GTEX-11DZ1-0011-R11b-SM-DO11W	Brain - Cerebellar Hemisphere
GTEX-11DZ1-0011-R2a-SM-DNZZM	Brain - Substantia nigra
GTEX-11DZ1-0011-R3a-SM-DNZYY	Brain - Anterior cingulate cortex (BA24)
GTEX-11DZ1-0011-R5a-SM-DO11J	Brain - Caudate (basal ganglia)
GTEX-11DZ1-0011-R6b-SM-DNZZG	Brain - Nucleus accumbens (basal ganglia)
GTEX-11DZ1-0011-R7a-SM-DNZZH	Brain - Putamen (basal ganglia)
GTEX-11DZ1-0011-R8b-SM-DNZZI	Brain - Hypothalamus
GTEX-11DZ1-0011-R9a-SM-DO933	Brain - Spinal cord (cervical c-1)
GTEX-11DZ1-0126-SM-5985Q	Skin - Sun Exposed (Lower leg)
GTEX-11DZ1-0226-SM-5A5KF	Adipose - Subcutaneous
GTEX-11DZ1-0326-SM-5N9BN	Breast - Mammary Tissue
GTEX-11DZ1-0426-SM-5H11A	Lung
GTEX-11DZ1-0926-SM-5EQ5R	Muscle - Skeletal
GTEX-11DZ1-2026-SM-5A5KG	Esophagus - Mucosa
GTEX-11DZ1-2426-SM-5GZZX	Skin - Not Sun Exposed (Suprapubic)
GTEX-11DZ1-2726-SM-5A5KH	Thyroid
GTEX-11DZ1-2926-SM-5A5KI	Brain - Cerebellum
GTEX-11EI6-0005-SM-5N9GN	Whole Blood
GTEX-11EI6-0008-SM-5QGR7	Cells - Cultured fibroblasts
GTEX-11EI6-0011-R10a-SM-DO93R	Brain - Frontal Cortex (BA9)
GTEX-11EI6-0011-R11a-SM-DO11V	Brain - Cerebellar Hemisphere
GTEX-11EI6-0011-R1a-SM-DO93L	Brain - Hippocampus
GTEX-11EI6-0011-R8a-SM-DO93M	Brain - Hypothalamus
GTEX-11EI6-0126-SM-5985R	Skin - Sun Exposed (Lower leg)
GTEX-11EI6-0226-SM-5EQ64	Adipose - Subcutaneous
GTEX-11EI6-0326-SM-5EQ6G	Muscle - Skeletal
GTEX-11EI6-0426-SM-5EQ43	Nerve - Tibial
GTEX-11EI6-0526-SM-5985S	Artery - Tibial
GTEX-11EI6-0626-SM-5985T	Breast - Mammary Tissue
GTEX-11EI6-0726-SM-59866	Thyroid
GTEX-11EI6-0826-SM-5985V	Lung
GTEX-11EI6-1526-SM-5P9GL	Esophagus - Mucosa
GTEX-11EI6-2226-SM-5EGJM	Testis
GTEX-11EI6-2426-SM-5PNVS	Stomach
GTEX-11EI6-2626-SM-5PNVT	Colon - Sigmoid
GTEX-11EI6-2826-SM-5H11D	Skin - Not Sun Exposed (Suprapubic)
GTEX-11EI6-2926-SM-5985U	Brain - Cerebellum
GTEX-11EI6-3026-SM-5GZZO	Brain - Cortex
GTEX-11EI6-3126-SM-5H111	Pituitary
GTEX-11EM3-0001-SM-5Q5BD	Cells - EBV-transformed lymphocytes
GTEX-11EM3-0005-SM-5N9DK	Whole Blood
GTEX-11EM3-0126-SM-5985K	Thyroid
GTEX-11EM3-0226-SM-5985Y	Artery - Aorta
GTEX-11EM3-0326-SM-5A5KJ	Adrenal Gland
GTEX-11EM3-0426-SM-5N9BZ	Heart - Atrial Appendage
GTEX-11EM3-0526-SM-5H12N	Artery - Coronary
GTEX-11EM3-0626-SM-5H12Z	Heart - Left Ventricle
GTEX-11EM3-0726-SM-5GZZM	Esophagus - Muscularis
GTEX-11EM3-0826-SM-5N9CC	Esophagus - Mucosa
GTEX-11EM3-0926-SM-5A5KK	Esophagus - Gastroesophageal Junction
GTEX-11EM3-1026-SM-5A5KL	Stomach
GTEX-11EM3-1126-SM-5A5KM	Adipose - Visceral (Omentum)
GTEX-11EM3-1226-SM-5N9DD	Skin - Not Sun Exposed (Suprapubic)
GTEX-11EM3-1326-SM-5N9C6	Breast - Mammary Tissue
GTEX-11EM3-1526-SM-5A5KN	Colon - Transverse
GTEX-11EM3-1626-SM-5N9CO	Colon - Sigmoid
GTEX-11EM3-1726-SM-5N9D1	Ovary
GTEX-11EM3-1826-SM-5A5KO	Vagina
GTEX-11EM3-1926-SM-5987U	Uterus
GTEX-11EM3-2126-SM-5H11M	Muscle - Skeletal
GTEX-11EM3-2226-SM-5H11Y	Artery - Tibial
GTEX-11EM3-2326-SM-5H12B	Adipose - Subcutaneous
GTEX-11EM3-2426-SM-59861	Skin - Sun Exposed (Lower leg)
GTEX-11EMC-0002-SM-5Q5DO	Cells - EBV-transformed lymphocytes
GTEX-11EMC-0006-SM-5O9DN	Whole Blood
GTEX-11EMC-0008-SM-5Q5DR	Cells - Cultured fibroblasts
GTEX-11EMC-0011-R10a-SM-DNZZJ	Brain - Frontal Cortex (BA9)
GTEX-11EMC-0011-R11b-SM-DNZZK	Brain - Cerebellar Hemisphere
GTEX-11EMC-0011-R2b-SM-DO114	Brain - Substantia nigra
GTEX-11EMC-0011-R8b-SM-DO91Z	Brain - Hypothalamus
GTEX-11EMC-0011-R9b-SM-DO921	Brain - Spinal cord (cervical c-1)
GTEX-11EMC-0126-SM-5EGKV	Lung
GTEX-11EMC-0226-SM-5EGLP	Thyroid
GTEX-11EMC-0526-SM-5EGJN	Adrenal Gland
GTEX-11EMC-0726-SM-5EGJO	Heart - Left Ventricle
GTEX-11EMC-0826-SM-59862	Heart - Atrial Appendage
GTEX-11EMC-0926-SM-59863	Artery - Aorta
GTEX-11EMC-1426-SM-5N9E4	Colon - Sigmoid
GTEX-11EMC-1726-SM-5H11P	Ovary
GTEX-11EMC-1826-SM-5A5JT	Uterus
